obs_name,num_obs,date,site_name,pt_num,pt_id,site_start_time,end_time,five_min_start,five_min_end,hour,min,decimal_min,hour_of_start,sunset_time,minutes_after_sunset,moonlight,clouds,wind,precip,humidity,start_temp,end_temp,min_lux,max_lux,light_source,sky_glow,light_trespass,glare,habitat,sm1,sm2,sm3,sm4,fireflies,species
rl,3,20240609,ps,1,PS01,1927,1935,1930,1935,19,30,0.50,19.50,1927,3,partial,0-20,0,dry,28,75.2,76.6,129,163,sun,none,none,none,riparian,1,10,NA,NA,no,
rl,3,20240609,ps,3,PS03,1955,2008,2003,2008,20,03,0.05,20.05,1927,76,partial,0-20,0,dry,26.8,75,74.1,0,0,sun,none,none,none,woodland,8.5,4.5,4,NA,no,
rl,3,20240609,ps,10,PS10,2025,2037,2032,2037,20,32,0.53,20.53,1927,105,partial,0-20,0,dry,28,68.2,64,0,0,sun,none,none,none,cienega,9,9,10,10,no,
rl,3,20240609,ps,9,PS09,2058,2107,2101,2106,21,01,0.02,21.02,1927,174,partial,0-20,0,dry,41.8,64,61.6,0,0,moon,yes,none,none,cienega,10,10,10,NA,no,
rl,3,20240609,ps,11,PS11,2116,2127,2121,2126,21,21,0.35,21.35,1927,194,partial,0-20,0,dry,38.6,61.9,59.9,0,0,moon,yes,none,none,cienega,10,10,10,9,no,
rl,3,20240610,ps,4,PS04,1914,1933,1928,1933,19,28,0.47,19.47,1927,1,partial,0-20,0,dry,38.8,74.6,74.7,26,29,sun,none,none,none,riparian,9.5,10,9,8.5,no,
rl,3,20240610,ps,7,PS07,1943,1951,1946,1951,19,46,0.77,19.77,1928,18,partial,0-20,0,dry,30,72.7,NA,2,3,sun,none,none,none,woodland,3,3.5,2,2,no,
rl,3,20240610,ps,5,PS05,2001,2008,2003,2008,20,03,0.05,20.05,1928,75,partial,0-20,0,dry,36,69.4,73.9,0,0,sun,none,none,none,woodland,1,1,1,1,no,
rl,3,20240610,ps,6,PS06,2013,2021,2016,2021,20,16,0.27,20.27,1928,88,partial,0-20,0,dry,36,68,68.4,0,0,sun,none,none,none,woodland,3,2,1,1.5,no,
rl,3,20240610,ps,8,PS08,2032,2042,2036,2041,20,36,0.60,20.60,1928,108,partial,0-20,0,dry,47.5,66.9,65.6,0,0,moon,none,none,none,riparian,4.5,10,2,4,no,
rl,3,20240617,ps,9,PS09,1925,1936,1930,1935,19,30,0.50,19.50,1930,0,bright,0-20,0.9,dry,17.8,85.2,83.9,489,510,sun,none,none,none,cienega,10,10,9,10,no,
rl,3,20240617,ps,1,PS01,2054,2101,2056,2061,20,56,0.93,20.93,1930,126,bright,0-20,0,dry,27,79.1,79.1,0,0,moon,none,none,none,woodland,NA,NA,NA,NA,no,
rl,3,20240617,ps,3,PS03,2035,2043,2038,2043,20,38,0.63,20.63,1930,108,bright,0-20,0.7,dry,23.5,80.8,79.4,0,0,moon,none,none,none,woodland,1,1,1,4,no,
rl,3,20240617,ps,10,PS10,2007,2018,2013,2018,20,13,0.22,20.22,1930,83,bright,0-20,2.1,dry,24.3,79,77,0,0,moon,none,none,none,cienega,8,8.5,9,10,no,
rl,3,20240617,ps,11,PS11,1944,2000,1954,1959,19,54,0.90,19.90,1930,24,bright,0-20,3.2,dry,24,79.5,77.6,17,22,sun,none,none,none,cienega,9,9,9,10,no,
rl,3,20240618,ps,4,PS04,2043,2051,2046,2051,20,46,0.77,20.77,1931,115,bright,0-20,0,dry,40.9,74.1,74.5,0,0,moon,none,none,none,riparian,8,9,10,10,yes,
rl,3,20240618,ps,8,PS08,1940,1951,1946,1951,19,46,0.77,19.77,1931,15,bright,0-20,0.8,dry,23.9,80.8,80.7,7,10,sun,none,none,none,riparian,8,10,2,3.5,yes,
rl,3,20240618,ps,5,PS05,2025,2034,2029,2034,20,29,0.48,20.48,1931,98,bright,0-20,0,dry,35.4,74.5,76.1,0,0,moon,none,none,none,woodland,1,1,2.5,1,no,
rl,3,20240618,ps,6,PS06,2011,2021,2016,2021,20,16,0.27,20.27,1931,85,bright,0-20,0,dry,38.4,76.5,75.9,0,0,moon,none,none,none,woodland,2,2.5,NA,NA,no,
rl,3,20240618,ps,7,PS07,2100,2107,2103,3207,21,03,0.05,21.05,1931,172,bright,0-20,0,dry,37.7,70.9,71.3,0,0,moon,none,none,none,woodland,2,2,1,1,no,
rl,2,20240619,ch,4,CH04,2053,2103,2058,2103,20,58,0.97,20.97,1930,128,near full,0-20,0,dry,42.4,64.7,65.3,0,0,moon,none,none,none,cienega,2,3,3.5,3,no,
rl,2,20240619,ch,3,CH03,2036,2046,2041,2046,20,41,0.68,20.68,1930,111,near full,0-20,0.8,dry,37.7,65.7,64.6,0,5,moon,none,none,none,cienega,5.5,2,3.5,4.5,no,
rl,2,20240619,ch,5,CH05,2005,2016,2011,2016,20,11,0.18,20.18,1930,81,near full,0-20,0,dry,29.6,70.2,71.5,0,23,moon,none,none,none,riparian,6,2,4,6,no,
rl,2,20240619,ch,2,CH02,1935,1950,1945,1950,19,45,0.75,19.75,1930,15,near full,0-20,0,dry,28,77.4,75.6,37,72,sun,none,none,none,riparian,1,2,2,4,no,
rl,5,20240623,ps,4,PS04,1935,1940,1935,1940,19,35,0.58,19.58,1932,3,partial,81-100,0.9,recent rain,87.3,71.1,NA,4,6,sun,none,none,none,riparian,10,8.5,10,10,yes,
rl,4,20240623,ps,4,PS04,2130,2135,2130,2135,21,30,0.50,21.50,1932,198,partial,81-100,0,recent rain,75.7,73.7,NA,0,0,moon,yes,none,none,riparian,10,8.5,10,10,yes,
rl,5,20240623,ps,8,PS08,2101,2105,2101,2105,21,01,0.02,21.02,1932,169,partial,81-100,1.7,recent rain,78.54,72.1,73.3,0,0,moon,yes,none,none,riparian,6.5,10,3,6,yes,
rl,5,20240623,ps,6,PS06,2041,2046,2041,2046,20,41,0.68,20.68,1932,109,partial,81-100,1.1,recent rain,70.5,76.6,71.6,0,0,moon,yes,none,none,woodland,7,6,4,6,yes,
rl,5,20240623,ps,7,PS07,2004,2009,2004,2009,20,04,0.07,20.07,1932,72,partial,81-100,1.1,recent rain,83.5,72.7,71,0,0,sun,none,none,none,woodland,1.4,7,2,3,yes,
rl,5,20240623,ps,5,PS05,2024,2029,2024,2029,20,24,0.40,20.40,1932,92,partial,81-100,1.1,recent rain,72.7,78,75.6,0,0,moon,none,none,none,woodland,2,7.5,2,1.5,no,
rl,5,20240624,ps,1,PS01,1954,2003,1958,2003,19,58,0.97,19.97,1932,26,partial,61-80,0.8,recent rain,71,80.3,80.8,0,0,sun,none,none,none,riparian,2,9,2,6,yes,
rl,5,20240624,ps,3,PS03,1930,1943,1939,1944,19,39,0.65,19.65,1932,7,partial,41-60,0,recent rain,70.8,81.3,81.6,6,9,sun,none,none,none,woodland,1,8,1,8,no,
rl,5,20240624,ps,10,PS10,2018,2028,2022,2027,20,22,0.37,20.37,1932,90,partial,81-100,0,rain,70.8,80.2,77.7,0,0,moon,none,none,none,cienega,10,10,9,10,yes,
rl,4,20240630,ch,4,CH04,1927,1947,1939,1944,19,39,0.65,19.65,1931,8,none,61-80,0,recent rain,76.8,73.3,70.4,158,184,sun,none,none,none,cienega,9,5.5,8,8,no,
rl,4,20240630,ch,3,CH03,1953,2008,1959,2004,19,59,0.98,19.98,1932,27,none,61-80,0,recent rain,78.7,71.5,71,3,4,sun,none,none,none,cienega,9,10,8.5,10,no,
rl,4,20240630,ch,2,CH02,2053,2105,2100,2105,21,00,0.00,21.00,1932,168,none,21-40,0,recent rain,88.7,71.4,70.3,0,0,none,yes,none,none,riparian,9,7,9.5,4.5,no,
rl,4,20240630,ch,5,CH05,2120,2130,2123,2128,21,23,0.38,21.38,1932,191,none,21-40,0,recent rain,84.4,68.2,69.1,0,0,none,yes,none,none,riparian,9,7.5,4.5,7,no,
rl,5,20240701,ps,6,PS06,2117,2125,2119,2124,21,19,0.32,21.32,1932,187,none,0-20,0,dry,75.7,74.9,74.6,0,0,artificial light,yes,none,none,woodland,9,5,8,8,yes,
rl,5,20240701,ps,9,PS09,1937,1954,1948,1953,19,48,0.80,19.80,1932,16,none,0-20,0,dry,82,76.3,77.9,62,78,sun,none,none,none,cienega,10,10,10,10,no,
rl,5,20240701,ps,5,PS05,2102,2113,2107,2112,21,07,0.12,21.12,1932,175,none,0-20,0,dry,67,77.8,77.8,0,0,artificial light,yes,none,none,woodland,6,8,8,6,yes,
rl,5,20240701,ps,7,PS07,2059,2100,2054,2059,20,54,0.90,20.90,1932,122,none,0-20,0,dry,71.2,75.9,78,0,0,artificial light,yes,none,none,woodland,7,6,7,7,yes,
rl,5,20240701,ps,4,PS04,2020,2040,2030,2035,20,30,0.50,20.50,1932,98,none,0-20,0,dry,79.6,77.7,79.8,0,0,sun,none,none,none,riparian,10,10,10,10,yes,
rl,5,20240702,ps,3,PS03,2002,2015,2007,2012,20,07,0.12,20.12,1932,75,none,41-60,0,dry,82.2,82.6,81.2,0,0,sun,none,none,none,woodland,10,10,10,10,no,
rl,5,20240702,ps,1,PS01,1942,1957,1950,1955,19,50,0.83,19.83,1932,18,none,41-60,0,dry,58,82.7,86.3,22,24,sun,none,none,none,riparian,5,3,2,3,yes,
rl,5,20240702,ps,11,PS11,2033,2045,2037,2042,20,37,0.62,20.62,1932,105,none,61-80,3,dry,58.1,79.6,79.7,0,0,sun,none,none,none,cienega,10,10,10,10,yes,
rl,5,20240708,ps,8,PS08,2107,2118,2111,2116,21,11,0.18,21.18,1931,180,partial,0-20,0,dry,48.7,75.2,76.6,0,0,artificial light,yes,none,none,riparian,9,4,5,6,yes,
rl,8,20240708,ps,4,PS04,1947,2003,1953,1938,19,53,0.88,19.88,1931,22,partial,0-20,0,dry,39.8,79.8,80.7,3,6,sun,none,none,none,riparian,10,10,10,10,yes,
rl,7,20240708,ps,7,PS07,2006,2019,2013,2018,20,13,0.22,20.22,1931,82,partial,0-20,0,dry,45.9,79.3,79.3,0,0,sun,none,none,none,woodland,6,5,4,5,no,
rl,5,20240708,ps,5,PS05,2023,2037,2030,2035,20,30,0.50,20.50,1931,99,partial,0-20,0,dry,62.9,78.2,79.3,0,0,sun,none,none,none,woodland,6,5,5,8,yes,
rl,5,20240708,ps,6,PS06,2041,2052,2046,2051,20,46,0.77,20.77,1931,115,partial,0-20,0,dry,47,77.5,75.4,0,0,artificial light,yes,none,none,woodland,5,5,7,6,yes,
rl,5,20240709,ps,10,PS10,2052,2108,2100,2105,21,00,0.00,21.00,1931,169,partial,81-100,0.1,dry,36.5,81.9,79.7,0,0,sun,none,none,none,cienega,10,9,10,9,yes,
rl,5,20240709,ps,3,PS03,2012,2038,2020,2025,20,20,0.33,20.33,1931,89,partial,61-80,1.6,dry,31.6,84.4,83.5,0,0,sun,none,none,none,woodland,10,7,8,7,yes,
rl,5,20240709,ps,1,PS01,1937,2000,1949,1954,19,49,0.82,19.82,1931,18,partial,61-80,1,dry,29.2,85,85.1,13,27,sun,none,none,none,riparian,1,2,1,1,yes,
rl,5,20240709,ps,9,PS09,2120,2130,2123,2128,21,23,0.38,21.38,1931,192,partial,81-100,0,dry,42.4,77,79,0,0,sun,none,none,none,cienega,10,10,10,10,no,
rl,7,20240722,ps,4,PS04,1922,NA,1944,1949,19,44,0.73,19.73,1925,19,none,0-20,0,recent rain (day before),66.3,NA,82.5,8,10,sun,none,none,none,riparian,10,10,10,8,no,
rl,7,20240722,ps,7,PS07,NA,NA,2011,2016,20,11,0.18,20.18,1925,86,none,0-20,0,recent rain (day before),61.5,78.7,81,0,0,artificial light,yes,none,none,woodland,6,6,6,7,yes,
rl,7,20240722,ps,6,PS06,NA,NA,2030,2035,20,30,0.50,20.50,1925,105,none,0-20,0,recent rain (day before),68,75.8,76.4,0,0,artificial light,yes,none,none,woodland,8,8,8,6,yes,
rl,7,20240722,ps,8,PS08,NA,NA,2056,2101,20,56,0.93,20.93,1925,131,none,0-20,0,recent rain (day before),73.7,72.9,72.7,0,0,artificial light,yes,none,none,riparian,6,8,7,9,yes,
rl,2,20240812,ch,5,CH05,1955,2002,1957,2002,19,57,0.95,19.95,1908,49,none,61-80,0,recent rain,70.6,71.1,71.2,0,0,sun,none,none,none,riparian,7,7,7,6,no,
rl,2,20240812,ch,2,CH02,1924,1938,1933,1938,19,33,0.55,19.55,1908,25,none,61-80,0,recent rain,72,72.9,73.2,0,0,sun,none,none,none,riparian,7,3.5,5,5,no,
kw,3,20240729,ps,1,PS01,NA,NA,1949,1955,19,49,0.82,19.82,1921,28,none,81-100,0.8,rain,71.4,75.8,75,0,0,artificial light,yes,none,none,riparian,2,2,2,2,yes,
kw,3,20240729,ps,3,PS03,2018,2028,2018,2023,20,18,0.30,20.30,1921,97,none,81-100,0.8,recent rain,86.4,75.7,78.8,0,0,artificial light,yes,none,none,woodland,7,5,8,8,yes,pk
kw,3,20240729,ps,9,PS09,2116,2123,2118,2123,21,18,0.30,21.30,1921,197,none,81-100,6.9,recent rain,66.6,73.2,73.3,0,0,artificial light,yes,none,none,cienega,9,10,10,9,no,
kw,3,20240729,ps,10,PS10,2151,2157,2151,2156,21,51,0.85,21.85,1921,230,none,81-100,2,rain,60,75.5,74.1,0,0,artificial light,yes,none,none,cienega,8,10,8,10,yes,pk
kw,3,20240803,ps,7,PS07,2101,2106,2101,2106,21,01,0.02,21.02,1917,184,none,61-80,7,recent rain,46.7,82.7,88.3,0,0,artificial light,yes,none,none,riparian,8,7,6,8,yes,pk
kw,3,20240803,ps,6,PS06,2045,2100,2045,2050,20,45,0.75,20.75,1917,128,none,61-80,5.4,recent rain,45.2,81,81.2,0,0,artificial light,yes,none,none,woodland,5,7,7,7,yes,bw
kw,3,20240803,ps,4,PS04,1955,2000,1955,2000,19,55,0.92,19.92,1917,38,none,21-40,1.4,recent rain,68.5,80.5,85.7,1,2,NA,yes,none,none,riparian,10,10,10,10,no,
kw,3,20240803,ps,8,PS08,2021,2026,2021,2026,20,21,0.35,20.35,1917,104,none,41-60,5.4,recent rain,55.6,83.9,84,0,0,NA,yes,none,none,riparian,5,9,7,7,no,
rl,4,20240813,ps,1,PS01,1953,2006,1959,2004,19,59,0.98,19.98,1908,51,none,61-80,0.7,recent rain,87.9,71.2,72,0,0,sun,none,none,none,riparian,3,4,5,5,yes,pk
rl,4,20240813,ps,7,PS07,2025,2035,2028,2033,20,28,0.47,20.47,1908,120,partial,41-60,0,recent rain,86.5,70.2,70.2,0,0,artificial light,yes,none,none,woodland,1,8,7,4,yes,pk
rl,4,20240813,ps,5,PS05,2045,2103,2056,2101,20,56,0.93,20.93,1908,148,partial,21-40,0,recent rain,80,72.1,71.9,0,0,moon,none,none,none,woodland,6,4,7,8,yes,pk
rl,4,20240813,ps,6,PS06,2107,2115,2109,2114,21,09,0.15,21.15,1908,201,partial,0-20,0,recent rain,83.4,71.5,72.2,0,0,moon,none,none,none,woodland,9,9,9,8,yes,pk
rl,4,20240813,ps,8,PS08,2125,2135,2129,2134,21,29,0.48,21.48,1908,221,partial,0-20,0,recent rain,84.4,74,74,0,0,moon,none,none,none,riparian,8,10,9,9,yes,pk
rl,4,20240813,ps,3,PS03,1934,1943,1941,1946,19,41,0.68,19.68,1908,33,none,61-80,1,recent rain,79,70.2,71.9,0,0,sun,none,none,none,woodland,10,10,10,9,no,